note: This is not a comprehensive list of all Taco Bells. This is a list of all locations that have a store page on tacobell.com,,,,,,,,,,,,,,
data is current as of 28 August 2017,,,,,,,,,,,,,,
storeid,name,location-name,address,city,state,zip,phone,latitude,longitude,drive-thru,open-late,delivery,breakfast,combo w/
000367,Taco Bell #000367 - 301 N Citrus,301 N Citrus,301 N Citrus,Covina,CA,91723,(626) 966-3213,34.08865615,-117.8904431,no,yes,no,yes,
000378,Taco Bell #000378 - 421 E Yosemite Ave,421 E Yosemite Ave,421 E Yosemite Ave,Manteca,CA,95336,(209) 239-1329,37.79765546,-121.2119785,yes,yes,no,yes,
000380,Taco Bell #000380 - 2921 E Busch Blvd,2921 E Busch Blvd,2921 E Busch Blvd,Tampa,FL,33612,(813) 935-4169,28.03210681,-82.42673881,yes,yes,no,yes,
000403,Taco Bell #000403 - 2610 Battleground Ave,2610 Battleground Ave,2610 Battleground Ave,Greensboro,NC,27408,(336) 288-1086,36.1074996,-79.82685287,yes,yes,no,yes,
000404,Taco Bell #000404 - 4502 O Street,4502 O Street,4502 O Street,Lincoln,NE,68510,(402) 476-2173,40.8138059,-96.65687576,yes,yes,no,yes,
000409,Taco Bell #000409 - 2681 Lake Tahoe Blvd,2681 Lake Tahoe Blvd,2681 Lake Tahoe Blvd,South Lake Tahoe,CA,96150,(530) 544-0409,38.92856965,-119.9822829,no,yes,no,yes,
000420,Taco Bell #000420 - 123 E Linwood,123 E Linwood,123 E Linwood,Kansas City,MO,64111,(816) 753-3640,39.06809679,-94.58356261,yes,yes,no,yes,
000449,Taco Bell #000449 - 2515 5th Ave,2515 5th Ave,2515 5th Ave,Huntington,WV,25703,(304) 529-6884,38.42472562,-82.41094977,yes,yes,no,yes,
000456,Taco Bell #000456 - 411 S Providence Rd,411 S Providence Rd,411 S Providence Rd,Columbia,MO,65203,(573) 443-7354,38.94675186,-92.33476102,yes,yes,no,yes,
000477,Taco Bell #000477 - 1662 Poplar Avenue,1662 Poplar Avenue,1662 Poplar Avenue,Memphis,TN,38104,(901) 725-0925,35.14328022,-90.0049086,yes,yes,no,yes,
000480,Taco Bell #000480 - 627 N Wilson Way,627 N Wilson Way,627 N Wilson Way,Stockton,CA,95205,(209) 466-1328,37.96217711,-121.2735663,yes,no,no,yes,
000511,Taco Bell #000511 - 1026 Grand Ave,1026 Grand Ave,1026 Grand Ave,Billings,MT,59102,(406) 252-9186,45.78372406,-108.5422086,yes,yes,no,yes,
000597,Taco Bell #000597 - 5856 Rivers Ave,5856 Rivers Ave,5856 Rivers Ave,North Charleston,SC,29406,(843) 744-4563,32.90128586,-80.01802732,yes,yes,no,yes,
000613,Taco Bell #000613 - 2183 Frayser Blvd.,2183 Frayser Blvd.,2183 Frayser Blvd.,Memphis,TN,38127,(901) 357-9832,35.21689404,-89.99073748,yes,yes,no,yes,
000649,Taco Bell #000649 - 5518 South Blvd,5518 South Blvd,5518 South Blvd,Charlotte,NC,28217,(704) 525-8830,35.16043672,-80.87650935,yes,yes,yes,yes,
000774,Taco Bell #000774 - 2310 S Broadway,2310 S Broadway,2310 S Broadway,Denver,CO,80210,(303) 777-4570,39.67446993,-104.9872676,yes,yes,yes,yes,
000790,Taco Bell #000790 - 1530 S College Ave,1530 S College Ave,1530 S College Ave,Fort Collins,CO,80524,(970) 482-4059,40.567622,-105.0765349,yes,yes,no,yes,
000833,Taco Bell #000833 - 2046 W Manchester Blvd,2046 W Manchester Blvd,2046 W Manchester Blvd,Los Angeles,CA,90047,(323) 758-9181,33.95973091,-118.3146054,yes,yes,no,yes,
000848,Taco Bell #000848 - 2306 Dix Hwy,2306 Dix Hwy,2306 Dix Hwy,Lincoln Park,MI,48146,(313) 928-4254,42.25059014,-83.19532196,yes,yes,no,yes,
000864,Taco Bell #000864 - 3118 E 11th Street,3118 E 11th Street,3118 E 11th Street,Tulsa,OK,74104,(918) 592-0003,36.14754946,-95.94417442,yes,yes,no,yes,
000867,Taco Bell #000867 - 25120 Michigan,25120 Michigan,25120 Michigan,Dearborn,MI,48124,(313) 563-9299,42.29831878,-83.28290373,yes,yes,no,yes,
000896,Taco Bell #000896 - 635 San Pablo Ave,635 San Pablo Ave,635 San Pablo Ave,Albany,CA,94706,(510) 527-5090,37.89407093,-122.2998986,yes,yes,no,yes,
000932,Taco Bell #000932 - 18941 Soledad Canyon Rd,18941 Soledad Canyon Rd,18941 Soledad Canyon Rd,Canyon Country,CA,91351,(661) 251-0330,34.41603918,-118.4661266,yes,yes,no,yes,
000939,Taco Bell #000939 - 3265 W Laskey Rd,3265 W Laskey Rd,3265 W Laskey Rd,Toledo,OH,43613,(419) 475-2387,41.70606212,-83.6234111,yes,yes,no,yes,
000951,Taco Bell #000951 - 850 North Ave,850 North Ave,850 North Ave,Grand Junction,CO,81501,(970) 243-1293,39.07766213,-108.5584304,yes,yes,no,yes,
000953,Taco Bell #000953 - 1725 N Oxnard Blvd,1725 N Oxnard Blvd,1725 N Oxnard Blvd,Oxnard,CA,93030,(805) 983-6409,34.21774695,-119.1776872,yes,yes,no,yes,
000992,Taco Bell #000992 - 1365 S Park Victoria,1365 S Park Victoria,1365 S Park Victoria,Milpitas,CA,95035,(408) 263-7833,37.41726323,-121.875722,yes,yes,yes,yes,
001020,Taco Bell #001020 - 6303 Platt Ave,6303 Platt Ave,6303 Platt Ave,Woodland Hills,CA,91367,(818) 348-3974,34.18570448,-118.6431599,yes,yes,yes,yes,
001037,Taco Bell #001037 - 427 W Johnson Ave,427 W Johnson Ave,427 W Johnson Ave,Fond Du Lac,WI,54935,(920) 923-5505,43.78467539,-88.46332759,yes,yes,no,yes,
001041,Taco Bell #001041 - 4318 Marconi Ave,4318 Marconi Ave,4318 Marconi Ave,Sacramento,CA,95821,(916) 482-7608,38.6172166,-121.3632938,yes,yes,no,yes,
001070,Taco Bell #001070 - 989 W Foothill Blvd.,989 W Foothill Blvd.,989 W Foothill Blvd.,Upland,CA,91786,(909) 981-1494,34.10743844,-117.6652238,yes,yes,no,yes,
001089,Taco Bell #001089 - 5506 E Mockingbird Ln.,5506 E Mockingbird Ln.,5506 E Mockingbird Ln.,Dallas,TX,75206,(214) 821-5751,32.83626582,-96.7732868,yes,yes,yes,yes,
001099,Taco Bell #001099 - 4710 Rogers Ave,4710 Rogers Ave,4710 Rogers Ave,Fort Smith,AR,72903,(479) 452-5202,35.36737672,-94.37986203,yes,yes,no,yes,
001123,Taco Bell #001123 - 2601 Main Street,2601 Main Street,2601 Main Street,Joplin,MO,64804,(417) 781-7800,37.06206958,-94.51414798,yes,yes,no,yes,
001128,Taco Bell #001128 - 1029 S Range Line Rd,1029 S Range Line Rd,1029 S Range Line Rd,Joplin,MO,64801,(417) 781-6522,37.07960151,-94.47705992,yes,yes,no,yes,
001129,Taco Bell #001129 - 1506 Galvin Rd S,1506 Galvin Rd S,1506 Galvin Rd S,Bellevue,NE,68005,(402) 292-6333,41.14453679,-95.91238622,yes,yes,no,yes,
001156,Taco Bell #001156 - 1309 Mount Vernon Ave,1309 Mount Vernon Ave,1309 Mount Vernon Ave,Marion,OH,43302,(740) 386-5418,40.58067528,-83.09465841,yes,yes,no,yes,
001163,Taco Bell #001163 - 4324 Camp Robinson Rd,4324 Camp Robinson Rd,4324 Camp Robinson Rd,North Little Rock,AR,72118,(501) 753-6746,34.79435978,-92.27118556,yes,yes,no,yes,
001178,Taco Bell #001178 - 6000 Crenshaw Blvd,6000 Crenshaw Blvd,6000 Crenshaw Blvd,Los Angeles,CA,90043,(323) 758-5900,33.98517773,-118.3305833,yes,yes,yes,yes,
001204,Taco Bell #001204 - 1115 Tiffin Ave,1115 Tiffin Ave,1115 Tiffin Ave,Findlay,OH,45840,(419) 423-4939,41.0489577,-83.62901814,yes,yes,no,yes,
001243,Taco Bell #001243 - 205 Eastchester Dr,205 Eastchester Dr,205 Eastchester Dr,High Point,NC,27262,(336) 841-4818,35.98330216,-80.0197953,yes,yes,no,yes,
001258,Taco Bell #001258 - 315 S 291 Hwy,315 S 291 Hwy,315 S 291 Hwy,Liberty,MO,64068,(816) 781-6591,39.24213895,-94.44060449,yes,yes,no,yes,
001264,Taco Bell #001264 - 26450 Plymouth Rd.,26450 Plymouth Rd.,26450 Plymouth Rd.,Redford,MI,48239,(313) 937-8230,42.37105098,-83.30310359,yes,yes,no,yes,
001279,Taco Bell #001279 - 4875 Tuscarawas St. W,4875 Tuscarawas St. W,4875 Tuscarawas St. W,Canton,OH,44708,(330) 478-0426,40.79441303,-81.43915768,yes,yes,no,yes,
001281,Taco Bell #001281 - 717 Kapahulu Ave,717 Kapahulu Ave,717 Kapahulu Ave,Honolulu,HI,96816,(808) 737-7337,21.28031954,-157.8139217,no,no,no,no,
001282,Taco Bell #001282 - 608 South Main Street,608 South Main Street,608 South Main Street,Englewood,OH,45322,(937) 836-0113,39.86892287,-84.2930152,yes,yes,no,yes,
001288,Taco Bell #001288 - 5066 State St.,5066 State St.,5066 State St.,Saginaw,MI,48603,(989) 790-2750,43.43724058,-84.01602656,yes,yes,no,yes,
001331,Taco Bell #001331 - 3127 Inwood Rd,3127 Inwood Rd,3127 Inwood Rd,Dallas,TX,75235,(214) 350-2897,32.82675011,-96.830566,yes,yes,yes,yes,
001360,Taco Bell #001360 - 5530 Everhart,5530 Everhart,5530 Everhart,Corpus Christi,TX,78411,(361) 991-9888,27.70709434,-97.38871068,yes,yes,no,yes,
001365,Taco Bell #001365 - 615 Waiakamilo Ave,615 Waiakamilo Ave,615 Waiakamilo Ave,Honolulu,HI,96817,(808) 832-4546,21.32409024,-157.8753412,no,yes,no,yes,
001370,Taco Bell #001370 - 1033 1/2 Bay Area Blvd,1033 1/2 Bay Area Blvd,1033 1/2 Bay Area Blvd,Houston,TX,77058,(281) 488-4760,29.556164,-95.11917443,yes,yes,no,yes,
001372,Taco Bell #001372 - 2226 E Main Street,2226 E Main Street,2226 E Main Street,Farmington,NM,87401,(505) 327-5481,36.73914894,-108.1779788,yes,yes,no,yes,
001394,Taco Bell #001394 - 1672 Rice St,1672 Rice St,1672 Rice St,Saint Paul,MN,55117,(651) 488-1366,44.99152369,-93.10533948,yes,yes,yes,yes,
001398,Taco Bell #001398 - 146 S Kamehameha Hwy,146 S Kamehameha Hwy,146 S Kamehameha Hwy,Wahiawa,HI,96786,(808) 622-4061,21.4938288,-158.0286232,no,no,no,yes,
001413,Taco Bell #001413 - 410 Russell Rd,410 Russell Rd,410 Russell Rd,Ashland,KY,41101,(606) 325-0619,38.50227835,-82.678977,yes,yes,no,yes,
001418,Taco Bell #001418 - 1330 Lincoln Ave,1330 Lincoln Ave,1330 Lincoln Ave,Loveland,CO,80537,(970) 663-0387,40.40640946,-105.0727281,yes,yes,no,yes,
001419,Taco Bell #001419 - 2410 E Rand Rd,2410 E Rand Rd,2410 E Rand Rd,Arlington Heights,IL,60004,(847) 253-7675,42.09471779,-87.95317505,yes,yes,no,yes,
001423,Taco Bell #001423 - 1104 NE 3rd St,1104 NE 3rd St,1104 NE 3rd St,Bend,OR,97701,(541) 389-5179,44.06125761,-121.3019555,yes,yes,no,yes,
001435,Taco Bell #001435 - 4141 E 14 Mile Road,4141 E 14 Mile Road,4141 E 14 Mile Road,Sterling Heights,MI,48310,(586) 939-4226,42.53594918,-83.06661828,yes,yes,no,yes,
001439,Taco Bell #001439 - 1301 NW Broad St,1301 NW Broad St,1301 NW Broad St,Murfreesboro,TN,37129,(615) 890-0531,35.86309497,-86.40949886,yes,yes,no,yes,
001446,Taco Bell #001446 - 621 W Henderson St,621 W Henderson St,621 W Henderson St,Cleburne,TX,76033,(817) 641-8282,32.34552377,-97.39434794,yes,yes,no,yes,
001447,Taco Bell #001447 - 2307 S. Wayne Rd.,2307 S. Wayne Rd.,2307 S. Wayne Rd.,Westland,MI,48186,(734) 721-3570,42.29175868,-83.38639006,yes,yes,no,yes,
001469,Taco Bell #001469 - 638 S Oyster Bay Rd,638 S Oyster Bay Rd,638 S Oyster Bay Rd,Hicksville,NY,11801,(516) 933-4151,40.77028828,-73.50168367,yes,yes,no,yes,
001498,Taco Bell #001498 - 10060 Telegraph Rd.,10060 Telegraph Rd.,10060 Telegraph Rd.,Taylor,MI,48180,(313) 292-8114,42.23294123,-83.27009216,yes,yes,no,yes,
001510,Taco Bell #001510 - 45-1014 Kamehameha Hwy.,45-1014 Kamehameha Hwy.,45-1014 Kamehameha Hwy.,Kaneohe,HI,96744,(808) 233-4870,21.41532533,-157.8010491,no,yes,no,yes,
001515,Taco Bell #001515 - 5641 Freeport Blvd.,5641 Freeport Blvd.,5641 Freeport Blvd.,Sacramento,CA,95822,(916) 393-7807,38.52295067,-121.4974514,yes,yes,no,yes,
001521,Taco Bell #001521 - 5589 Kanan Road,5589 Kanan Road,5589 Kanan Road,Agoura Hills,CA,91301,(818) 991-8268,34.15166154,-118.758755,yes,yes,yes,yes,
001524,Taco Bell #001524 - 47 Woodman Dr.,47 Woodman Dr.,47 Woodman Dr.,Dayton,OH,45431,(937) 252-3527,39.76835209,-84.12373562,yes,yes,no,yes,
001529,Taco Bell #001529 - 934 Valkenburgh St,934 Valkenburgh St,934 Valkenburgh St,Honolulu,HI,96818,(808) 423-2898,21.34465812,-157.9278472,no,yes,no,yes,
001530,Taco Bell #001530 - 915 NE Highway 99W,915 NE Highway 99W,915 NE Highway 99W,McMinnville,OR,97128,(503) 472-2800,45.22535695,-123.1886829,yes,yes,no,yes,
001531,Taco Bell #001531 - 22670 Allen Road,22670 Allen Road,22670 Allen Road,Woodhaven,MI,48183,(734) 675-3094,42.14318371,-83.22692327,yes,yes,no,yes,
001557,Taco Bell #001557 - 28540 Gratiot Ave.,28540 Gratiot Ave.,28540 Gratiot Ave.,Roseville,MI,48066,(586) 773-0930,42.50607975,-82.93013282,yes,yes,no,yes,
001567,Taco Bell #001567 - 4000 Nolensville Road,4000 Nolensville Road,4000 Nolensville Road,Nashville,TN,37211,(615) 834-2279,36.08463533,-86.72751985,yes,yes,no,yes,
